         ps   /tdc_tb/tdc/dm_inst/out_mod      
             /tdc_tb/tdc/dm_inst/out_signal    
  143585000                             0 1 
  143685000                             0 0 
  143785000                             0 1 
  143885000                             0 0 
  143985000                             0 1 
  144085000                             0 0 
  144185000                             0 1 
  144285000                             0 0 
  144385000                             0 1 
  144485000                             0 0 
  144585000                             0 1 
  144685000                             0 0 
  144785000                             0 1 
  144885000                             0 0 
  144985000                             0 1 
  145085000                             0 0 
  145185000                             0 1 
  145285000                             0 0 
  145385000                             0 1 
  145485000                             0 0 
  145585000                             0 1 
  145685000                             0 0 
  145785000                             0 1 
  145885000                             0 0 
  145985000                             0 1 
  146085000                             0 0 
  146185000                             0 1 
  146285000                             0 0 
  146385000                             0 1 
  146485000                             0 0 
  146585000                             0 1 
  146685000                             0 0 
  146785000                             0 1 
  146885000                             0 0 
  146985000                             0 1 
  147085000                             0 0 
  147185000                             0 1 
  147285000                             0 0 
  147385000                             0 1 
  147485000                             0 0 
  147585000                             0 1 
  147685000                             0 0 
  147785000                             0 1 
  147885000                             0 0 
  147985000                             0 1 
  148085000                             0 0 
  148185000                             0 1 
  148285000                             0 0 
  148385000                             0 1 
  148485000                             0 0 
  148585000                             0 1 
  148685000                             0 0 
  148785000                             0 1 
  148885000                             0 0 
  148985000                             0 1 
  149085000                             0 0 
  149185000                             0 1 
  149285000                             0 0 
  149385000                             0 1 
  149485000                             0 0 
  149585000                             0 1 
  149685000                             0 0 
  149785000                             0 1 
  149885000                             0 0 
  149985000                             0 1 
  150085000                             0 0 
  150165000                             1 0 
  150185000                             1 1 
  150285000                             1 0 
  150385000                             1 1 
  150485000                             1 0 
  150585000                             1 1 
  150685000                             1 0 
  150785000                             1 1 
  150880000                             1 0 
  150975000                             1 1 
  151070000                             1 0 
  151165000                             1 1 
  151270000                             1 0 
  151375000                             1 1 
  151480000                             1 0 
  151585000                             1 1 
  151685000                             1 0 
  151785000                             1 1 
  151885000                             1 0 
  151985000                             1 1 
  152085000                             1 0 
  152185000                             1 1 
  152285000                             1 0 
  152385000                             1 1 
  152485000                             1 0 
